FOODID	FOODNAME
1025	RUISVELLI, MAITO, RUISHIUTALE, SUOLAA
1026	RUISPUURO, VESI, RUISHIUTALE, SUOLAA
1027	RUISPUURO, MAITO, RUISHIUTALE, SUOLAA
1028	NELJÄNVILJANVELLI, MAITO, SUOLAA
1030	NELJÄNVILJANPUURO, MAITO, SUOLAA
1031	VEHNÄTORTILLA, BURRITO, WRAP, KASVISTÄYTE
1032	KRUSKAPUURO, ROUHEPUURO, RUSINA, VESI, SUOLAA
1033	VEHNÄTORTILLA, BURRITO, WRAP, JAUHELIHATÄYTE
1035	VEHNÄTORTILLA, BURRITO, WRAP, BROILERITÄYTE
1036	RUISLEIPÄ, RUISTA 51%
1056	VAALEA LEIPÄ, PITALEIPÄ
1100	VEHNÄVELLI, MAITO, VEHNÄJAUHO, SOKERIA, SUOLAA
1101	MUNAVELLI, MAITO, SOKERIA, SUOLAA
1104	VEHNÄPUURO, KEVYTMAITO, VEHNÄJAUHO, SOKERI, SUOLAA
1107	VAALEA LEIPÄ, RANSKANLEIPÄ, KEVYTMAITO, VEHNÄJAUHO
1108	VAALEA LEIPÄ, VEHNÄSÄMPYLÄ, KEVYTMAITO
1111	SEKALEIPÄ, RIESKA, KEVYTMAITO, VEHNÄ-, RUISJAUHO
1132	VIINERI, KEVYTMAITO, RUNSASRASVAINEN, RASVAA 20 %
1139	MUNKKI, KEVYTMAITO, KOTITEKOINEN
1150	SOKERIRINKELI, KEVYTMAITO
1160	TORTTUPOHJA, SOKERITON
1161	MARJAPIIRAKKA, PULLAPOHJA, KEVYTMAITO
1162	MARJAPIIRAKKA, PULLAPOHJA, RASVATON MAITO
1163	MARJAPIIRAKKA, PULLAPOHJA, TÄYSMAITO
1164	HILLOPIIRAKKA, PULLAPOHJA, KEVYTMAITO
1165	HILLOPIIRAKKA, PULLAPOHJA, RASVATON MAITO
1170	OMENAPIIRAKKA, PULLAPOHJA, KEVYTMAITO
1173	RAHKAPIIRAKKA, PULLAPOHJA, KEVYTMAITO
1179	MARJAPIIRAKKA, MUROPOHJA
1180	MARJAPIIRAKKA, MUROPOHJA, KERMAVIILITÄYTE
1181	HILLOPIIRAKKA, MUROPOHJA
1182	RAPARPERIPIIRAKKA, MUROPOHJA
1183	OMENAPIIRAKKA, MUROPOHJA
1184	RAHKAPIIRAKKA, MUROPOHJA
1185	OMENA-RAHKAPIIRAKKA, MUROPOHJA
1193	KÄÄRETORTUN/TÄYTEKAKUN POHJA, SOKERITON
1202	KUIVAKAKKU, TOSCAKAKKU
